,bartscore,number of Unique sentences,chapter-title,source
0,-3.2650522277468728,4,Dracula.chapter 1,gradesaver
1,-3.1782696611351438,6,Dracula.chapter 2,gradesaver
2,-3.141235581759749,9,Dracula.chapter 3,gradesaver
3,-3.1485379869523253,13,Dracula.chapter 4,gradesaver
4,-3.055481690626878,2,Dracula.chapter 5,gradesaver
5,-3.2200657396480956,7,Dracula.chapter 6,gradesaver
6,-3.1435655307769776,5,Dracula.chapter 7,gradesaver
7,-2.786367780821664,9,Dracula.chapter 8,gradesaver
8,-3.081677489555799,11,Dracula.chapter 9,gradesaver
9,-2.5703132195132117,3,Dracula.chapter 10,gradesaver
10,-2.7991284680366517,11,Dracula.chapter 11,gradesaver
11,-2.8484791761471167,9,Dracula.chapter 12,gradesaver
12,-3.141770416498184,7,Dracula.chapter 13,gradesaver
13,-3.1899676753415003,4,Dracula.chapter 14,gradesaver
14,-2.876672512955136,3,Dracula.chapter 15,gradesaver
15,-3.06110900381337,6,Dracula.chapter 16,gradesaver
16,-3.244235575199127,2,Dracula.chapter 17,gradesaver
17,-2.7903077497201805,3,Dracula.chapter 18,gradesaver
18,-3.0681129260496656,7,Dracula.chapter 19,gradesaver
19,-2.882448338545286,4,Dracula.chapter 20,gradesaver
20,-2.890366068592778,4,Dracula.chapter 21,gradesaver
21,-2.8523764501918447,2,Dracula.chapter 22,gradesaver
22,-3.1983822470619563,10,Dracula.chapter 23,gradesaver
23,-2.964472490198472,5,Dracula.chapter 24,gradesaver
24,-3.1118604938189187,7,Dracula.chapter 25,gradesaver
25,-3.3204998582601544,7,Dracula.chapter 26,gradesaver
26,-2.9581740498542786,4,Dracula.chapter 27,gradesaver
27,-3.2932898155848185,5,Dracula.chapter 1,shmoop
28,-3.0235389155500076,11,Dracula.chapter 2,shmoop
29,-3.0932512270643358,8,Dracula.chapter 3,shmoop
30,-2.76724045475324,9,Dracula.chapter 4,shmoop
31,-3.305354212459765,7,Dracula.chapter 5,shmoop
32,-3.0593624088499283,7,Dracula.chapter 6,shmoop
33,-3.3567910439827866,8,Dracula.chapter 7,shmoop
34,-2.979405489351068,12,Dracula.chapter 8,shmoop
35,-3.1368763872555325,10,Dracula.chapter 9,shmoop
36,-2.79032202064991,4,Dracula.chapter 10,shmoop
37,-2.8438593989763508,12,Dracula.chapter 11,shmoop
38,-3.0280589087064875,8,Dracula.chapter 12,shmoop
39,-3.22256986932321,7,Dracula.chapter 13,shmoop
40,-2.8406684916952383,4,Dracula.chapter 14,shmoop
41,-2.931345215210548,3,Dracula.chapter 15,shmoop
42,-3.2025426495820284,7,Dracula.chapter 16,shmoop
43,-3.4652719910328207,3,Dracula.chapter 17,shmoop
44,-3.058849508945759,4,Dracula.chapter 18,shmoop
45,-3.3557892955582718,5,Dracula.chapter 19,shmoop
46,-3.105596198755152,2,Dracula.chapter 20,shmoop
47,-2.93818696975708,4,Dracula.chapter 21,shmoop
48,-3.42164301446506,4,Dracula.chapter 22,shmoop
49,-3.1654049336910246,9,Dracula.chapter 23,shmoop
50,-2.843246454777925,8,Dracula.chapter 24,shmoop
51,-3.1520563570352698,7,Dracula.chapter 25,shmoop
52,-2.986571247237069,9,Dracula.chapter 26,shmoop
53,-2.7614719023307166,5,Dracula.chapter 27,shmoop
54,-3.1620773653189342,5,Dracula.chapter 1,cliffnotes
55,-2.814597186588106,4,Dracula.chapter 1,novelguide
