,bleu,number of Unique sentences,chapter-title,source
0,0.2701671801055576,5,Dracula.chapter 1,gradesaver
1,0.29918094050837973,13,Dracula.chapter 2,gradesaver
2,0.3156229446911417,14,Dracula.chapter 3,gradesaver
3,0.3006252510053383,22,Dracula.chapter 4,gradesaver
4,0.28930842177308247,6,Dracula.chapter 5,gradesaver
5,0.2741659070900366,11,Dracula.chapter 6,gradesaver
6,0.30414557555930233,9,Dracula.chapter 7,gradesaver
7,0.31690098195198274,13,Dracula.chapter 8,gradesaver
8,0.29469944571960743,14,Dracula.chapter 9,gradesaver
9,0.3500780092446175,7,Dracula.chapter 10,gradesaver
10,0.3345740426296554,17,Dracula.chapter 11,gradesaver
11,0.32540938679052445,16,Dracula.chapter 12,gradesaver
12,0.309629127259723,10,Dracula.chapter 13,gradesaver
13,0.31827127873453775,7,Dracula.chapter 14,gradesaver
14,0.3069328120656868,11,Dracula.chapter 15,gradesaver
15,0.3219880802316929,13,Dracula.chapter 16,gradesaver
16,0.28587115109660666,5,Dracula.chapter 17,gradesaver
17,0.2594076464134851,8,Dracula.chapter 18,gradesaver
18,0.27183538834916154,9,Dracula.chapter 19,gradesaver
19,0.29879075696326773,8,Dracula.chapter 20,gradesaver
20,0.30729776961673555,9,Dracula.chapter 21,gradesaver
21,0.2911313533493306,8,Dracula.chapter 22,gradesaver
22,0.30024122911401074,9,Dracula.chapter 23,gradesaver
23,0.27358159672639515,10,Dracula.chapter 24,gradesaver
24,0.3134915020526592,11,Dracula.chapter 25,gradesaver
25,0.2870304954033771,11,Dracula.chapter 26,gradesaver
26,0.3026192378083076,13,Dracula.chapter 27,gradesaver
27,0.24556871634719105,6,Dracula.chapter 1,shmoop
28,0.3011022297297206,12,Dracula.chapter 2,shmoop
29,0.2852199855569253,14,Dracula.chapter 3,shmoop
30,0.31392263699847905,18,Dracula.chapter 4,shmoop
31,0.2533776370936542,10,Dracula.chapter 5,shmoop
32,0.2629491448441782,12,Dracula.chapter 6,shmoop
33,0.2586767876064011,10,Dracula.chapter 7,shmoop
34,0.29500760319039887,16,Dracula.chapter 8,shmoop
35,0.256109165966785,15,Dracula.chapter 9,shmoop
36,0.29389359078256927,12,Dracula.chapter 10,shmoop
37,0.31173571010075596,19,Dracula.chapter 11,shmoop
38,0.3056991241077748,19,Dracula.chapter 12,shmoop
39,0.30167040573863996,9,Dracula.chapter 13,shmoop
40,0.30822880743378855,6,Dracula.chapter 14,shmoop
41,0.28182789717910794,9,Dracula.chapter 15,shmoop
42,0.29973744656032947,11,Dracula.chapter 16,shmoop
43,0.23710572609771574,6,Dracula.chapter 17,shmoop
44,0.25538288651151714,9,Dracula.chapter 18,shmoop
45,0.23149182419077446,14,Dracula.chapter 19,shmoop
46,0.2539869178965847,10,Dracula.chapter 20,shmoop
47,0.3124692311673086,10,Dracula.chapter 21,shmoop
48,0.25426029205402034,11,Dracula.chapter 22,shmoop
49,0.2617060178373123,9,Dracula.chapter 23,shmoop
50,0.2608446679183558,14,Dracula.chapter 24,shmoop
51,0.2322707883252621,11,Dracula.chapter 25,shmoop
52,0.24172242953225936,14,Dracula.chapter 26,shmoop
53,0.29096605354454663,14,Dracula.chapter 27,shmoop
54,0.25075676413404646,6,Dracula.chapter 1,cliffnotes
55,0.25151223073188084,7,Dracula.chapter 1,novelguide
56,0.2994405308418959,15,Dracula.chapter 2,novelguide
57,0.31320691847592963,13,Dracula.chapter 3,novelguide
58,0.32159181532869036,17,Dracula.chapter 4,novelguide
59,0.30355638752420977,10,Dracula.chapter 5,novelguide
60,0.2583297227490089,9,Dracula.chapter 6,novelguide
61,0.28443959447723244,8,Dracula.chapter 7,novelguide
62,0.3421122989610638,10,Dracula.chapter 8,novelguide
63,0.290954641404906,14,Dracula.chapter 9,novelguide
64,0.34290650942501333,9,Dracula.chapter 10,novelguide
65,0.33368022810580933,19,Dracula.chapter 11,novelguide
66,0.33191733115414723,15,Dracula.chapter 12,novelguide
67,0.2780096365839143,10,Dracula.chapter 13,novelguide
68,0.3239404232068219,7,Dracula.chapter 14,novelguide
69,0.3053394468412528,6,Dracula.chapter 15,novelguide
70,0.3363586890315462,9,Dracula.chapter 16,novelguide
71,0.3162246129834593,6,Dracula.chapter 17,novelguide
72,0.26247231185855346,8,Dracula.chapter 18,novelguide
73,0.2454865342356905,11,Dracula.chapter 19,novelguide
74,0.27290122477416623,7,Dracula.chapter 20,novelguide
75,0.33366411091204895,10,Dracula.chapter 21,novelguide
76,0.25588114509893056,10,Dracula.chapter 22,novelguide
77,0.25953273471967464,12,Dracula.chapter 23,novelguide
78,0.28467465457254665,14,Dracula.chapter 24,novelguide
79,0.2696406267578658,10,Dracula.chapter 25,novelguide
80,0.2864359647347733,10,Dracula.chapter 26,novelguide
81,0.30483855858943054,11,Dracula.chapter 27,novelguide
82,0.3592912735083249,5,Jane Eyre.volume 1.chapter 1,gradesaver
83,0.31643592100440543,4,Jane Eyre.volume 1.chapter 2,gradesaver
84,0.34771836983493776,6,Jane Eyre.volume 1.chapter 3,gradesaver
85,0.3604137822289865,5,Jane Eyre.volume 1.chapter 4,gradesaver
86,0.3331366882654576,7,Jane Eyre.volume 1.chapter 5,gradesaver
87,0.27854078934221255,5,Jane Eyre.volume 1.chapter 6,gradesaver
88,0.35239850991422267,4,Jane Eyre.volume 1.chapter 7,gradesaver
89,0.33078866926909717,6,Jane Eyre.volume 1.chapter 8,gradesaver
90,0.3637224030089345,6,Jane Eyre.volume 1.chapter 9,gradesaver
91,0.3903342655130693,9,Jane Eyre.volume 1.chapter 10,gradesaver
92,0.3675702992553261,7,Jane Eyre.volume 1.chapter 11,gradesaver
93,0.32451687066504536,7,Jane Eyre.volume 1.chapter 12,gradesaver
94,0.3271393558820939,5,Jane Eyre.volume 1.chapter 13,gradesaver
95,0.3329040796216583,3,Jane Eyre.volume 1.chapter 14,gradesaver
96,0.33322907349431585,9,Jane Eyre.volume 1.chapter 15,gradesaver
97,0.27517705807104387,7,Jane Eyre.volume 1.chapter 1,shmoop
98,0.22433238296844804,7,Jane Eyre.volume 1.chapter 2,shmoop
99,0.262280686079505,8,Jane Eyre.volume 1.chapter 3,shmoop
100,0.2512009162195428,13,Jane Eyre.volume 1.chapter 4,shmoop
101,0.24743931158978752,14,Jane Eyre.volume 1.chapter 5,shmoop
102,0.24137450123401283,5,Jane Eyre.volume 1.chapter 6,shmoop
103,0.20900872147385977,8,Jane Eyre.volume 1.chapter 7,shmoop
104,0.24709123527827398,8,Jane Eyre.volume 1.chapter 8,shmoop
105,0.25142060720241827,11,Jane Eyre.volume 1.chapter 9,shmoop
106,0.2749207892252492,12,Jane Eyre.volume 1.chapter 10,shmoop
107,0.2901765769318828,17,Jane Eyre.volume 1.chapter 11,shmoop
108,0.28116840091976136,11,Jane Eyre.volume 1.chapter 12,shmoop
109,0.26098168448752945,7,Jane Eyre.volume 1.chapter 13,shmoop
110,0.26415795020506183,7,Jane Eyre.volume 1.chapter 14,shmoop
111,0.28455285750281767,17,Jane Eyre.volume 1.chapter 15,shmoop
112,0.34373521832328724,6,Jane Eyre.volume 1.chapter 1,cliffnotes
113,0.32219051231346263,8,Jane Eyre.volume 1.chapter 4,cliffnotes
114,0.31501356167164063,8,Jane Eyre.volume 1.chapter 5,cliffnotes
115,0.3065096445443849,7,Jane Eyre.volume 1.chapter 8,cliffnotes
116,0.29440722912857475,6,Jane Eyre.volume 1.chapter 9,cliffnotes
117,0.3394761322198171,8,Jane Eyre.volume 1.chapter 10,cliffnotes
118,0.3442936926525348,9,Jane Eyre.volume 1.chapter 11,cliffnotes
119,0.32815316902228303,7,Jane Eyre.volume 1.chapter 12,cliffnotes
120,0.2763322010331007,6,Jane Eyre.volume 1.chapter 13,cliffnotes
121,0.2817253262306779,7,Jane Eyre.volume 2.chapter 16,cliffnotes
122,0.3473013444884576,12,Jane Eyre.volume 2.chapter 17,cliffnotes
123,0.2812643758893843,14,Jane Eyre.volume 2.chapter 20,cliffnotes
124,0.3213324587928655,12,Jane Eyre.volume 2.chapter 21,cliffnotes
125,0.2948412327254264,4,Jane Eyre.volume 2.chapter 22,cliffnotes
126,0.29809521613134327,9,Jane Eyre.volume 2.chapter 23,cliffnotes
127,0.31815605138822994,10,Jane Eyre.volume 3.chapter 26,cliffnotes
128,0.3046858548371698,12,Jane Eyre.volume 3.chapter 27,cliffnotes
129,0.3141921158837244,6,Jane Eyre.volume 3.chapter 30,cliffnotes
130,0.24790599660652318,8,Jane Eyre.volume 3.chapter 31,cliffnotes
131,0.3274918085914412,8,Jane Eyre.volume 3.chapter 32,cliffnotes
132,0.3045614324240721,8,Jane Eyre.volume 3.chapter 33,cliffnotes
133,0.3072337714790261,12,Jane Eyre.volume 3.chapter 34,cliffnotes
134,0.32039633166004555,13,Jane Eyre.volume 3.chapter 35,cliffnotes
135,0.32262213912030696,10,Jane Eyre.volume 3.chapter 36,cliffnotes
136,0.3587308875749336,10,Jane Eyre.volume 3.chapter 37,cliffnotes
137,0.3067347062134952,7,Jane Eyre.volume 3.chapter 38,cliffnotes
138,0.3717305720451799,6,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.3444064646958324,3,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.3380626748385671,5,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.28939692672155504,9,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.3614020246372021,4,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.3021464049928064,5,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.3476341993130008,2,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.3560120570617304,5,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.36862990922502387,6,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.3551408951405758,8,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.3215464409839401,5,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.3424038059965182,9,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.2759604598144878,7,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.3600896002242551,5,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.2923262053546403,11,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.35408801677627116,6,Jane Eyre.volume 2.chapter 21,sparknotes
