,chrf,number of Unique sentences,chapter-title,source
0,0.11837423979848515,6,Dracula.chapter 1,gradesaver
1,0.1214098819843826,14,Dracula.chapter 2,gradesaver
2,0.13599759043624451,14,Dracula.chapter 3,gradesaver
3,0.14257940372943834,22,Dracula.chapter 4,gradesaver
4,0.10281581366504121,6,Dracula.chapter 5,gradesaver
5,0.13812524728014872,10,Dracula.chapter 6,gradesaver
6,0.11875772522730482,11,Dracula.chapter 7,gradesaver
7,0.12899708984976027,18,Dracula.chapter 8,gradesaver
8,0.12448890743129964,11,Dracula.chapter 9,gradesaver
9,0.15824445508197843,7,Dracula.chapter 10,gradesaver
10,0.11831722493161584,14,Dracula.chapter 11,gradesaver
11,0.1765009682456763,18,Dracula.chapter 12,gradesaver
12,0.12063866016184077,9,Dracula.chapter 13,gradesaver
13,0.17428770238868874,9,Dracula.chapter 14,gradesaver
14,0.14819208799680006,9,Dracula.chapter 15,gradesaver
15,0.16015421845377742,12,Dracula.chapter 16,gradesaver
16,0.13258998288076143,5,Dracula.chapter 17,gradesaver
17,0.13311756693175553,10,Dracula.chapter 18,gradesaver
18,0.13537710018984034,13,Dracula.chapter 19,gradesaver
19,0.14381893425520964,6,Dracula.chapter 20,gradesaver
20,0.13844448227970574,10,Dracula.chapter 21,gradesaver
21,0.12339881937503658,9,Dracula.chapter 22,gradesaver
22,0.14489831727154184,11,Dracula.chapter 23,gradesaver
23,0.12483837362103828,13,Dracula.chapter 24,gradesaver
24,0.1172151205921299,9,Dracula.chapter 25,gradesaver
25,0.12420621167098748,10,Dracula.chapter 26,gradesaver
26,0.1562830974122017,15,Dracula.chapter 27,gradesaver
27,0.12174995609450434,7,Dracula.chapter 1,shmoop
28,0.1535086968696146,14,Dracula.chapter 2,shmoop
29,0.1322966284543645,14,Dracula.chapter 3,shmoop
30,0.15252301585336883,13,Dracula.chapter 4,shmoop
31,0.0984834452895734,10,Dracula.chapter 5,shmoop
32,0.12295118482354508,13,Dracula.chapter 6,shmoop
33,0.11944366783733475,11,Dracula.chapter 7,shmoop
