,rouge-l,number of Unique sentences,chapter-title,source
0,0.1677268240265285,5,Dracula.chapter 1,gradesaver
1,0.19940169230266264,11,Dracula.chapter 2,gradesaver
2,0.2126466256766005,12,Dracula.chapter 3,gradesaver
3,0.20955610019936874,22,Dracula.chapter 4,gradesaver
4,0.1925981202768054,7,Dracula.chapter 5,gradesaver
5,0.18350887339545346,10,Dracula.chapter 6,gradesaver
6,0.2112886618477798,11,Dracula.chapter 7,gradesaver
7,0.20772952191859897,15,Dracula.chapter 8,gradesaver
8,0.19894899435672764,12,Dracula.chapter 9,gradesaver
9,0.24442111913431552,8,Dracula.chapter 10,gradesaver
10,0.2282490360610953,18,Dracula.chapter 11,gradesaver
11,0.2246566676007733,20,Dracula.chapter 12,gradesaver
12,0.218777036590305,11,Dracula.chapter 13,gradesaver
13,0.2228122901998627,7,Dracula.chapter 14,gradesaver
14,0.21127112227973366,9,Dracula.chapter 15,gradesaver
15,0.22787242730024304,10,Dracula.chapter 16,gradesaver
16,0.18501746715210238,6,Dracula.chapter 17,gradesaver
17,0.18907945480932492,8,Dracula.chapter 18,gradesaver
18,0.18837039492158902,11,Dracula.chapter 19,gradesaver
19,0.22566532085880833,10,Dracula.chapter 20,gradesaver
20,0.20875955158989662,11,Dracula.chapter 21,gradesaver
21,0.19794227561809336,9,Dracula.chapter 22,gradesaver
22,0.19007396017820055,10,Dracula.chapter 23,gradesaver
23,0.19306690250488,8,Dracula.chapter 24,gradesaver
24,0.22227000339619934,10,Dracula.chapter 25,gradesaver
25,0.19899980683397323,11,Dracula.chapter 26,gradesaver
26,0.21053757592053823,14,Dracula.chapter 27,gradesaver
27,0.1605552543323698,6,Dracula.chapter 1,shmoop
28,0.20051055011476548,13,Dracula.chapter 2,shmoop
29,0.19870277801396008,14,Dracula.chapter 3,shmoop
30,0.21588512464935125,21,Dracula.chapter 4,shmoop
31,0.1619755518567338,10,Dracula.chapter 5,shmoop
32,0.17150320115951617,11,Dracula.chapter 6,shmoop
33,0.18756831342583485,10,Dracula.chapter 7,shmoop
34,0.19890628251425915,20,Dracula.chapter 8,shmoop
35,0.16785541253787417,18,Dracula.chapter 9,shmoop
36,0.18904412284359354,14,Dracula.chapter 10,shmoop
37,0.20452282374242775,20,Dracula.chapter 11,shmoop
38,0.21135914517100418,19,Dracula.chapter 12,shmoop
39,0.20177363431440465,9,Dracula.chapter 13,shmoop
40,0.20700894529567385,8,Dracula.chapter 14,shmoop
41,0.1854279015535546,7,Dracula.chapter 15,shmoop
42,0.20868715415389527,12,Dracula.chapter 16,shmoop
43,0.1485001583564865,6,Dracula.chapter 17,shmoop
44,0.17945481735416446,8,Dracula.chapter 18,shmoop
45,0.15909809927979696,13,Dracula.chapter 19,shmoop
46,0.1729665963724073,11,Dracula.chapter 20,shmoop
47,0.20233939880255497,11,Dracula.chapter 21,shmoop
48,0.1574148991032801,13,Dracula.chapter 22,shmoop
49,0.16905751747005593,11,Dracula.chapter 23,shmoop
50,0.17655631582150624,12,Dracula.chapter 24,shmoop
51,0.15349582953272833,11,Dracula.chapter 25,shmoop
52,0.1550027248072282,14,Dracula.chapter 26,shmoop
53,0.19545291823173522,16,Dracula.chapter 27,shmoop
54,0.15763859876175448,5,Dracula.chapter 1,cliffnotes
55,0.16436241417929073,6,Dracula.chapter 1,novelguide
56,0.20041668840302687,15,Dracula.chapter 2,novelguide
57,0.2275085331552847,12,Dracula.chapter 3,novelguide
58,0.22244111530779292,18,Dracula.chapter 4,novelguide
59,0.20179109258182754,9,Dracula.chapter 5,novelguide
60,0.1637933681508773,11,Dracula.chapter 6,novelguide
61,0.23464011206473703,10,Dracula.chapter 7,novelguide
62,0.22419159333943472,16,Dracula.chapter 8,novelguide
63,0.18971458933440705,16,Dracula.chapter 9,novelguide
64,0.23519149545779644,12,Dracula.chapter 10,novelguide
65,0.22051063545433802,18,Dracula.chapter 11,novelguide
66,0.2352992689089537,18,Dracula.chapter 12,novelguide
67,0.18649995453580734,10,Dracula.chapter 13,novelguide
68,0.22058139869264015,8,Dracula.chapter 14,novelguide
69,0.20023600979171474,9,Dracula.chapter 15,novelguide
70,0.24503599062286271,9,Dracula.chapter 16,novelguide
71,0.20015253845648429,6,Dracula.chapter 17,novelguide
72,0.1757851486901183,9,Dracula.chapter 18,novelguide
73,0.1736268362089716,11,Dracula.chapter 19,novelguide
74,0.21006951272436852,7,Dracula.chapter 20,novelguide
75,0.20523355211349587,10,Dracula.chapter 21,novelguide
76,0.16434533055179917,12,Dracula.chapter 22,novelguide
77,0.16963202470795014,11,Dracula.chapter 23,novelguide
78,0.19197952400355883,13,Dracula.chapter 24,novelguide
79,0.17536683032356212,9,Dracula.chapter 25,novelguide
80,0.1781985663150359,12,Dracula.chapter 26,novelguide
81,0.2025549344738518,15,Dracula.chapter 27,novelguide
82,0.2155263167507625,7,Jane Eyre.volume 1.chapter 1,gradesaver
83,0.1882817910840242,5,Jane Eyre.volume 1.chapter 2,gradesaver
84,0.22326168914390923,9,Jane Eyre.volume 1.chapter 3,gradesaver
85,0.23255762806987856,6,Jane Eyre.volume 1.chapter 4,gradesaver
86,0.22685883620765343,5,Jane Eyre.volume 1.chapter 5,gradesaver
87,0.18676935451116863,5,Jane Eyre.volume 1.chapter 6,gradesaver
88,0.2336336032305991,5,Jane Eyre.volume 1.chapter 7,gradesaver
89,0.21977339765057458,8,Jane Eyre.volume 1.chapter 8,gradesaver
90,0.22725624837074582,7,Jane Eyre.volume 1.chapter 9,gradesaver
91,0.26677242290089687,7,Jane Eyre.volume 1.chapter 10,gradesaver
92,0.23459392847041471,8,Jane Eyre.volume 1.chapter 11,gradesaver
93,0.21484639179444134,8,Jane Eyre.volume 1.chapter 12,gradesaver
94,0.21952466365558576,5,Jane Eyre.volume 1.chapter 13,gradesaver
95,0.21941150812722982,3,Jane Eyre.volume 1.chapter 14,gradesaver
96,0.23321593783485275,9,Jane Eyre.volume 1.chapter 15,gradesaver
97,0.1533459827743668,8,Jane Eyre.volume 1.chapter 1,shmoop
98,0.13425575901597095,8,Jane Eyre.volume 1.chapter 2,shmoop
99,0.15725697036891137,10,Jane Eyre.volume 1.chapter 3,shmoop
100,0.15588991701872038,13,Jane Eyre.volume 1.chapter 4,shmoop
101,0.14599876242678006,15,Jane Eyre.volume 1.chapter 5,shmoop
102,0.13818167603851875,6,Jane Eyre.volume 1.chapter 6,shmoop
103,0.12430065921186391,7,Jane Eyre.volume 1.chapter 7,shmoop
104,0.15683853717857926,9,Jane Eyre.volume 1.chapter 8,shmoop
105,0.15853269785423585,11,Jane Eyre.volume 1.chapter 9,shmoop
106,0.17603955166685148,12,Jane Eyre.volume 1.chapter 10,shmoop
107,0.18161913005521546,16,Jane Eyre.volume 1.chapter 11,shmoop
