,rouge-2n,number of Unique sentences,title,source
0,0.07768080264491223,40,paradise lost,gradesaver
1,0.11561316782788819,16,paradise lost,shmoop
2,0.07114598188627193,17,paradise lost,sparknotes
3,0.09614657129438221,36,adam bede,gradesaver
4,0.06352937611710087,24,adam bede,shmoop
5,0.07850848152671387,40,adam bede,cliffnotes
6,0.09094010424175548,37,adam bede,sparknotes
7,0.09156580370879847,30,northanger abbey,gradesaver
8,0.08186526586895584,20,northanger abbey,shmoop
9,0.071654939504758,21,northanger abbey,sparknotes
10,0.058172407167745,39,frankenstein,gradesaver
11,0.052001708474552176,22,frankenstein,shmoop
12,0.08359185782042078,17,frankenstein,cliffnotes
13,0.08785671580098468,17,frankenstein,sparknotes
14,0.08686425361358123,26,my antonia,shmoop
15,0.06711306156004594,39,my antonia,cliffnotes
16,0.08808327899067904,22,my antonia,sparknotes
17,0.025007082533729887,9,a vindication of the rights of woman,gradesaver
18,0.040821899897879946,9,a vindication of the rights of woman,shmoop
19,0.05625406480150209,26,little women,gradesaver
20,0.07838787874548186,17,little women,shmoop
21,0.05762047945997774,15,little women,sparknotes
22,0.059298495067722994,16,the house of mirth,shmoop
23,0.05670892542657077,17,the house of mirth,cliffnotes
24,0.07501738683343263,16,the house of mirth,sparknotes
25,0.10825610309587615,28,the house of the seven gables,gradesaver
26,0.09954430559543476,28,the house of the seven gables,shmoop
27,0.08388896903204886,19,the house of the seven gables,cliffnotes
28,0.07257880263146355,17,the house of the seven gables,sparknotes
29,0.06564152098505475,28,hamlet,gradesaver
30,0.07397016622955252,17,hamlet,shmoop
31,0.08362003633830495,16,hamlet,sparknotes
32,0.08256323334452952,41,othello,gradesaver
33,0.0677757672118057,31,othello,shmoop
34,0.07518330034903914,40,othello,sparknotes
35,0.06745355898044458,28,a room with a view,gradesaver
36,0.07469575463925053,22,a room with a view,shmoop
37,0.07042476997624958,22,a room with a view,sparknotes
38,0.04396816038243152,16,coriolanus,gradesaver
39,0.06100766760294271,11,coriolanus,shmoop
40,0.07869476822643592,10,coriolanus,sparknotes
41,0.07190741783358895,18,around the world in eighty days,shmoop
42,0.0643800742067755,33,candide,gradesaver
43,0.09847613192057876,22,candide,shmoop
44,0.08520149928651677,29,candide,cliffnotes
45,0.08881063798571605,29,candide,sparknotes
46,0.05514666835082555,16,around the world in eighty days,gradesaver
47,0.05863874358031807,5,sister carrie,gradesaver
48,0.04245543472963062,4,sister carrie,shmoop
49,0.05968686860133982,5,sister carrie,cliffnotes
50,0.0300683711279801,6,sister carrie,sparknotes
51,0.08057980143714866,28,persuasion,gradesaver
52,0.07248472633606412,20,persuasion,shmoop
53,0.08197819700320241,19,persuasion,sparknotes
54,0.05499059641360713,32,wuthering heights,gradesaver
55,0.08723636616267601,32,wuthering heights,shmoop
56,0.0859743714880067,16,wuthering heights,cliffnotes
57,0.0836236286994993,17,wuthering heights,sparknotes
58,0.07793066465387627,9,what maisie knew,gradesaver
59,0.04412451263456744,7,what maisie knew,shmoop
60,0.08145052648157965,18,oliver twist,gradesaver
61,0.06979820818531352,22,oliver twist,shmoop
62,0.05857986258231662,27,oliver twist,cliffnotes
63,0.08974489653418234,26,oliver twist,sparknotes
64,0.09639579178086977,28,david copperfield,gradesaver
65,0.06136437072754602,40,david copperfield,shmoop
66,0.10096956705797759,15,david copperfield,cliffnotes
67,0.08978573743457159,18,david copperfield,sparknotes
68,0.052580051883499755,29,heart of darkness,gradesaver
69,0.06437926544011653,16,heart of darkness,shmoop
70,0.07426264736277685,14,heart of darkness,cliffnotes
71,0.0747301006651062,17,heart of darkness,sparknotes
72,0.06373258240617274,29,dracula,gradesaver
73,0.07553912699024608,21,dracula,shmoop
74,0.07469656617448263,25,dracula,cliffnotes
75,0.08783485732028018,25,dracula,sparknotes
76,0.01343617134334692,6,leviathan,gradesaver
77,0.033305223273687505,6,leviathan,shmoop
78,0.07545988804929946,19,main street,shmoop
79,0.06832444672905484,28,main street,cliffnotes
80,0.07475789273634766,27,main street,sparknotes
81,0.0358867497648923,19,middlemarch,gradesaver
82,0.05283549229498816,10,middlemarch,shmoop
83,0.03681178449718869,10,middlemarch,sparknotes
84,0.08784417016853353,20,the power and the glory,shmoop
85,0.09064880749736391,15,the power and the glory,sparknotes
86,0.07214254434495924,12,the return of the native,shmoop
87,0.05278483967180832,19,the return of the native,cliffnotes
88,0.06317088506085819,18,the return of the native,sparknotes
89,0.08252106266413478,22,the scarlet letter,gradesaver
90,0.048279953230604966,13,the scarlet letter,shmoop
91,0.06506812090061372,23,the scarlet letter,cliffnotes
92,0.06807744003943382,26,the scarlet letter,sparknotes
93,0.08399969490891952,23,my antonia,gradesaver
94,0.08808462563480143,15,babbitt,gradesaver
95,0.05729075511539747,11,babbitt,shmoop
96,0.06563325899997265,14,babbitt,sparknotes
97,0.028148439482710896,9,madame bovary,shmoop
98,0.04924859269833695,12,madame bovary,cliffnotes
99,0.08140048178131105,22,a tale of two cities,gradesaver
100,0.0388499893457518,32,a tale of two cities,shmoop
101,0.0680225413701942,17,a tale of two cities,cliffnotes
102,0.06696666622355295,20,a tale of two cities,sparknotes
103,0.06191391605245937,31,howards end,gradesaver
104,0.0593358331390043,13,howards end,shmoop
105,0.08445632322813845,15,howards end,sparknotes
106,0.09342450534799544,44,the turn of the screw,gradesaver
107,0.07592496956934204,23,the turn of the screw,shmoop
108,0.09877226793733401,22,the turn of the screw,cliffnotes
109,0.10900536757838496,25,the turn of the screw,sparknotes
110,0.07011081585685902,17,the secret agent,gradesaver
