,rouge-l,number of Unique sentences,title,source
0,0.22111192445323785,45,paradise lost,gradesaver
1,0.24946083409229358,18,paradise lost,shmoop
2,0.22323771685212127,18,paradise lost,sparknotes
3,0.23579869125245956,39,adam bede,gradesaver
4,0.18701686920710003,36,adam bede,shmoop
5,0.22773677513464816,43,adam bede,cliffnotes
6,0.23437041988289042,41,adam bede,sparknotes
7,0.21902575745116154,32,northanger abbey,gradesaver
8,0.21006422602765318,26,northanger abbey,shmoop
9,0.2162928741199345,21,northanger abbey,sparknotes
10,0.1943005119421837,40,frankenstein,gradesaver
11,0.1619602386847855,27,frankenstein,shmoop
12,0.23003599276133288,18,frankenstein,cliffnotes
13,0.22619258447007776,21,frankenstein,sparknotes
14,0.20746373734565451,25,my antonia,shmoop
15,0.20961898761674838,41,my antonia,cliffnotes
16,0.22697895511552288,21,my antonia,sparknotes
17,0.15254914722185986,15,a vindication of the rights of woman,gradesaver
18,0.17020310742746023,15,a vindication of the rights of woman,shmoop
19,0.18350699585255603,27,little women,gradesaver
20,0.19274084079739767,16,little women,shmoop
21,0.1766495934734315,17,little women,sparknotes
22,0.18845017700957561,17,the house of mirth,shmoop
23,0.19092408417170298,18,the house of mirth,cliffnotes
24,0.20297757602710334,17,the house of mirth,sparknotes
25,0.23150719997169508,35,the house of the seven gables,gradesaver
26,0.22171750144206023,32,the house of the seven gables,shmoop
27,0.22494543186148883,24,the house of the seven gables,cliffnotes
28,0.2122334763684092,30,the house of the seven gables,sparknotes
29,0.2055243192742502,28,hamlet,gradesaver
30,0.18866282603819157,24,hamlet,shmoop
31,0.2226071780055351,24,hamlet,sparknotes
32,0.24022616975658295,35,othello,gradesaver
33,0.21367588741756885,42,othello,shmoop
34,0.22306125458975845,40,othello,sparknotes
35,0.19549887916859526,31,a room with a view,gradesaver
36,0.19835490010633727,24,a room with a view,shmoop
37,0.19231724478552392,22,a room with a view,sparknotes
38,0.17614317651459688,16,coriolanus,gradesaver
39,0.19653937687435552,12,coriolanus,shmoop
40,0.22222761718701023,10,coriolanus,sparknotes
41,0.18482111832038853,19,around the world in eighty days,shmoop
42,0.2121143518554824,34,candide,gradesaver
43,0.23332040265590445,24,candide,shmoop
44,0.22242921390113915,32,candide,cliffnotes
45,0.22769444778345868,32,candide,sparknotes
46,0.17229755541863373,20,around the world in eighty days,gradesaver
47,0.1916814035077553,8,sister carrie,gradesaver
48,0.14755456478430581,8,sister carrie,shmoop
49,0.19417691350499303,8,sister carrie,cliffnotes
50,0.17619709893991672,7,sister carrie,sparknotes
51,0.19796708629023468,34,persuasion,gradesaver
52,0.16977661817312933,20,persuasion,shmoop
53,0.2073052999270814,16,persuasion,sparknotes
54,0.19333046648936983,41,wuthering heights,gradesaver
55,0.21945555581732623,32,wuthering heights,shmoop
56,0.21615067634027116,17,wuthering heights,cliffnotes
57,0.20719578091037394,16,wuthering heights,sparknotes
58,0.20388296726111646,12,what maisie knew,gradesaver
59,0.17050169026037734,12,what maisie knew,shmoop
60,0.20735946506208403,19,oliver twist,gradesaver
61,0.2025422107108651,20,oliver twist,shmoop
62,0.19086338717774173,30,oliver twist,cliffnotes
63,0.22606837319655906,24,oliver twist,sparknotes
64,0.22423057197260432,32,david copperfield,gradesaver
65,0.19203497706965025,43,david copperfield,shmoop
66,0.2263949424972289,15,david copperfield,cliffnotes
67,0.22588613203224028,17,david copperfield,sparknotes
68,0.19788844886334556,32,heart of darkness,gradesaver
69,0.20372198554677556,20,heart of darkness,shmoop
70,0.2231577568795371,16,heart of darkness,cliffnotes
71,0.2134997212707562,19,heart of darkness,sparknotes
72,0.19215125784220788,31,dracula,gradesaver
73,0.19462417607011495,21,dracula,shmoop
74,0.1994266982049532,29,dracula,cliffnotes
75,0.21389429815971783,29,dracula,sparknotes
76,0.14114606703763358,8,leviathan,gradesaver
77,0.15452517714571637,8,leviathan,shmoop
78,0.2024395591703888,19,main street,shmoop
79,0.19089868217171851,33,main street,cliffnotes
80,0.20257465607834846,32,main street,sparknotes
81,0.16202312962085222,29,middlemarch,gradesaver
82,0.16859418290895106,18,middlemarch,shmoop
83,0.1592914013760876,16,middlemarch,sparknotes
84,0.21924187704704634,19,the power and the glory,shmoop
85,0.2396513519383957,14,the power and the glory,sparknotes
86,0.19164270654312324,14,the return of the native,shmoop
87,0.17307146390671246,18,the return of the native,cliffnotes
88,0.18275736017836233,19,the return of the native,sparknotes
89,0.22149886208638922,24,the scarlet letter,gradesaver
90,0.1659816249267542,20,the scarlet letter,shmoop
91,0.20736525829167415,27,the scarlet letter,cliffnotes
92,0.20556644573793323,27,the scarlet letter,sparknotes
93,0.21532914736405587,22,my antonia,gradesaver
94,0.20949792616471363,16,babbitt,gradesaver
95,0.1808124771764557,17,babbitt,shmoop
96,0.19341034045626088,17,babbitt,sparknotes
97,0.14926766592417298,15,madame bovary,shmoop
98,0.17672412833798434,12,madame bovary,cliffnotes
99,0.20838028713925805,24,a tale of two cities,gradesaver
100,0.15028907586955387,41,a tale of two cities,shmoop
101,0.2058729104822591,20,a tale of two cities,cliffnotes
102,0.20104154715196007,20,a tale of two cities,sparknotes
103,0.1887498980112509,27,howards end,gradesaver
104,0.1837652107565353,14,howards end,shmoop
105,0.20810844657001645,17,howards end,sparknotes
106,0.23655041092714232,50,the turn of the screw,gradesaver
107,0.22379432546792652,28,the turn of the screw,shmoop
108,0.2376294979914735,22,the turn of the screw,cliffnotes
109,0.24645276260593255,22,the turn of the screw,sparknotes
110,0.18484673837590804,14,the secret agent,gradesaver
111,0.14460816605134258,15,the secret agent,shmoop
112,0.241490652852093,33,jane eyre,gradesaver
113,0.2001154654716576,36,jane eyre,shmoop
