,bert,number of Unique sentences,chapter-title,source
0,0.7071858644485474,9,bleak-house-chapter-18,gradesaver
1,0.6657178401947021,8,bleak-house-chapter-19,gradesaver
2,0.6271549463272095,5,bleak-house-chapter-40,gradesaver
3,0.6974315047264099,5,bleak-house-chapter-42,gradesaver
4,0.7371159195899963,6,bleak-house-chapter-61,gradesaver
5,0.7611062526702881,5,bleak-house-chapter-62,gradesaver
6,0.6017768979072571,8,bleak-house-chapter-1,shmoop
7,0.582131564617157,12,bleak-house-chapter-2,shmoop
8,0.6466668248176575,17,bleak-house-chapter-3,shmoop
9,0.5874022841453552,15,bleak-house-chapter-4,shmoop
10,0.5797093510627747,20,bleak-house-chapter-5,shmoop
11,0.5853719115257263,16,bleak-house-chapter-6,shmoop
12,0.5748417973518372,15,bleak-house-chapter-7,shmoop
13,0.634212076663971,17,bleak-house-chapter-8,shmoop
14,0.624769389629364,11,bleak-house-chapter-9,shmoop
15,0.5854012966156006,10,bleak-house-chapter-10,shmoop
16,0.5983420610427856,17,bleak-house-chapter-11,shmoop
17,0.641594409942627,13,bleak-house-chapter-12,shmoop
18,0.5898553729057312,16,bleak-house-chapter-13,shmoop
19,0.5999447703361511,16,bleak-house-chapter-14,shmoop
20,0.6011733412742615,13,bleak-house-chapter-15,shmoop
21,0.5311970114707947,10,bleak-house-chapter-16,shmoop
22,0.6464176774024963,10,bleak-house-chapter-17,shmoop
23,0.6138913631439209,18,bleak-house-chapter-18,shmoop
24,0.5870339870452881,12,bleak-house-chapter-19,shmoop
25,0.5887398719787598,10,bleak-house-chapter-20,shmoop
26,0.6192772388458252,9,bleak-house-chapter-21,shmoop
27,0.6144760847091675,16,bleak-house-chapter-22,shmoop
28,0.6156372427940369,12,bleak-house-chapter-23,shmoop
29,0.6051049828529358,17,bleak-house-chapter-24,shmoop
30,0.6016470789909363,9,bleak-house-chapter-25,shmoop
31,0.5769560933113098,15,bleak-house-chapter-26,shmoop
32,0.6140533685684204,12,bleak-house-chapter-27,shmoop
33,0.5926769375801086,13,bleak-house-chapter-28,shmoop
34,0.6082553863525391,11,bleak-house-chapter-29,shmoop
35,0.6505208015441895,14,bleak-house-chapter-30,shmoop
36,0.6392145752906799,11,bleak-house-chapter-31,shmoop
37,0.6306611895561218,10,bleak-house-chapter-32,shmoop
38,0.5802140235900879,10,bleak-house-chapter-33,shmoop
39,0.5715855956077576,10,bleak-house-chapter-34,shmoop
40,0.6207609176635742,13,bleak-house-chapter-35,shmoop
41,0.5958929061889648,16,bleak-house-chapter-36,shmoop
42,0.6398155093193054,12,bleak-house-chapter-37,shmoop
43,0.5650127530097961,7,bleak-house-chapter-38,shmoop
44,0.5760325789451599,10,bleak-house-chapter-39,shmoop
45,0.5841159224510193,8,bleak-house-chapter-40,shmoop
46,0.5862800478935242,11,bleak-house-chapter-41,shmoop
47,0.6647933721542358,7,bleak-house-chapter-42,shmoop
48,0.6351171135902405,12,bleak-house-chapter-43,shmoop
49,0.6194223761558533,13,bleak-house-chapter-44,shmoop
50,0.6507733464241028,14,bleak-house-chapter-45,shmoop
51,0.6297275424003601,10,bleak-house-chapter-46,shmoop
52,0.6205008625984192,12,bleak-house-chapter-47,shmoop
53,0.6128348708152771,15,bleak-house-chapter-48,shmoop
54,0.6598992347717285,8,bleak-house-chapter-49,shmoop
55,0.6095344424247742,10,bleak-house-chapter-50,shmoop
56,0.6140264868736267,10,bleak-house-chapter-51,shmoop
57,0.6278175711631775,13,bleak-house-chapter-52,shmoop
58,0.509535014629364,7,bleak-house-chapter-53,shmoop
59,0.6356263160705566,18,bleak-house-chapter-54,shmoop
60,0.612354576587677,7,bleak-house-chapter-55,shmoop
61,0.6602498888969421,9,bleak-house-chapter-56,shmoop
62,0.573749303817749,15,bleak-house-chapter-57,shmoop
63,0.6099534034729004,11,bleak-house-chapter-58,shmoop
64,0.634249210357666,14,bleak-house-chapter-59,shmoop
65,0.6366539001464844,9,bleak-house-chapter-60,shmoop
66,0.6321240067481995,12,bleak-house-chapter-61,shmoop
67,0.6231510639190674,9,bleak-house-chapter-62,shmoop
68,0.6299201846122742,9,bleak-house-chapter-63,shmoop
69,0.6676972508430481,9,bleak-house-chapter-64,shmoop
70,0.590042233467102,7,bleak-house-chapter-65,shmoop
71,0.5323907732963562,4,bleak-house-chapter-66,shmoop
