,rouge-2n,number of Unique sentences,chapter-title,source
0,0.06418169182583129,7,bleak-house-chapter-18,gradesaver
1,0.07986294988634178,5,bleak-house-chapter-19,gradesaver
2,0.05507694418681602,6,bleak-house-chapter-40,gradesaver
3,0.04976956062817086,4,bleak-house-chapter-42,gradesaver
4,0.07596000458159383,6,bleak-house-chapter-61,gradesaver
5,0.13206450767181505,4,bleak-house-chapter-62,gradesaver
6,0.04760413257913578,7,bleak-house-chapter-1,shmoop
7,0.039990262682480515,7,bleak-house-chapter-2,shmoop
8,0.051180986654080114,14,bleak-house-chapter-3,shmoop
9,0.035408114852284255,8,bleak-house-chapter-4,shmoop
10,0.04035361788477568,17,bleak-house-chapter-5,shmoop
11,0.03240528078632656,11,bleak-house-chapter-6,shmoop
12,0.04481923848917071,10,bleak-house-chapter-7,shmoop
13,0.03854118849760613,11,bleak-house-chapter-8,shmoop
14,0.039393536238931944,9,bleak-house-chapter-9,shmoop
15,0.03480799094324495,6,bleak-house-chapter-10,shmoop
16,0.04607893406807116,11,bleak-house-chapter-11,shmoop
17,0.05579948937945392,8,bleak-house-chapter-12,shmoop
18,0.018553470054076694,10,bleak-house-chapter-13,shmoop
19,0.033705448306024934,12,bleak-house-chapter-14,shmoop
20,0.03388179776461179,12,bleak-house-chapter-15,shmoop
21,0.030027980183258213,7,bleak-house-chapter-16,shmoop
22,0.04036383227683251,11,bleak-house-chapter-17,shmoop
23,0.03933740973076531,14,bleak-house-chapter-18,shmoop
24,0.05382611474748548,9,bleak-house-chapter-19,shmoop
25,0.03942200308075272,7,bleak-house-chapter-20,shmoop
26,0.028235887393303925,8,bleak-house-chapter-21,shmoop
27,0.04255080861215682,8,bleak-house-chapter-22,shmoop
28,0.03151523615038369,10,bleak-house-chapter-23,shmoop
29,0.03698810474568678,10,bleak-house-chapter-24,shmoop
30,0.036165467825809844,6,bleak-house-chapter-25,shmoop
31,0.04162534700058884,8,bleak-house-chapter-26,shmoop
32,0.04220577136350271,9,bleak-house-chapter-27,shmoop
33,0.04465201398046433,7,bleak-house-chapter-28,shmoop
34,0.05841714828096678,7,bleak-house-chapter-29,shmoop
35,0.04381529659548952,10,bleak-house-chapter-30,shmoop
36,0.03757042088250589,9,bleak-house-chapter-31,shmoop
37,0.03179806437291479,4,bleak-house-chapter-32,shmoop
38,0.03364705229244566,5,bleak-house-chapter-33,shmoop
39,0.04963416668662737,8,bleak-house-chapter-34,shmoop
40,0.04029973585162358,10,bleak-house-chapter-35,shmoop
41,0.04363482720521623,8,bleak-house-chapter-36,shmoop
42,0.04803049746545356,13,bleak-house-chapter-37,shmoop
43,0.033552364535142286,5,bleak-house-chapter-38,shmoop
44,0.025418615134620227,5,bleak-house-chapter-39,shmoop
45,0.046119397029232775,7,bleak-house-chapter-40,shmoop
46,0.04145896773849238,5,bleak-house-chapter-41,shmoop
47,0.037044143580251494,5,bleak-house-chapter-42,shmoop
48,0.04276099940724781,10,bleak-house-chapter-43,shmoop
49,0.03251757459209286,9,bleak-house-chapter-44,shmoop
50,0.03427246797061711,8,bleak-house-chapter-45,shmoop
51,0.059364618008732335,7,bleak-house-chapter-46,shmoop
52,0.054981824058423355,11,bleak-house-chapter-47,shmoop
53,0.06082855623256045,11,bleak-house-chapter-48,shmoop
54,0.053193896919861934,6,bleak-house-chapter-49,shmoop
55,0.030403006932929993,6,bleak-house-chapter-50,shmoop
56,0.025338492087580034,7,bleak-house-chapter-51,shmoop
57,0.04050019533836199,8,bleak-house-chapter-52,shmoop
58,0.024133120499470043,6,bleak-house-chapter-53,shmoop
59,0.03911653328928136,8,bleak-house-chapter-54,shmoop
60,0.056864994545289066,6,bleak-house-chapter-55,shmoop
61,0.06486527549690162,8,bleak-house-chapter-56,shmoop
62,0.045760232669490634,12,bleak-house-chapter-57,shmoop
63,0.03498780183999669,10,bleak-house-chapter-58,shmoop
64,0.03700074722846925,7,bleak-house-chapter-59,shmoop
65,0.04368598986953174,9,bleak-house-chapter-60,shmoop
66,0.025110111351919793,6,bleak-house-chapter-61,shmoop
67,0.03637264348027596,2,bleak-house-chapter-62,shmoop
68,0.052574056012003496,7,bleak-house-chapter-63,shmoop
69,0.07359732240798493,6,bleak-house-chapter-64,shmoop
70,0.07047195104240739,5,bleak-house-chapter-65,shmoop
71,0.051163911658954495,3,bleak-house-chapter-66,shmoop
72,0.042887868098817124,3,bleak-house-chapter-67,shmoop
73,0.09266421868624768,5,bleak-house-chapter-1,cliffnotes
74,0.07755599215481045,5,bleak-house-chapter-2,cliffnotes
75,0.08706470681661022,5,bleak-house-chapter-3,cliffnotes
76,0.05639521437710588,4,bleak-house-chapter-4,cliffnotes
77,0.08026850930077715,7,bleak-house-chapter-5,cliffnotes
78,0.05631540249084238,5,bleak-house-chapter-6,cliffnotes
79,0.12716712769651684,9,bleak-house-chapter-7,cliffnotes
80,0.08579831242982343,8,bleak-house-chapter-8,cliffnotes
81,0.07273852371701252,6,bleak-house-chapter-9,cliffnotes
82,0.061732206533958334,2,bleak-house-chapter-12,cliffnotes
83,0.04370821286133226,5,bleak-house-chapter-13,cliffnotes
84,0.08870296352050704,5,bleak-house-chapter-14,cliffnotes
85,0.07374519191522412,5,bleak-house-chapter-15,cliffnotes
86,0.08883251885011972,4,bleak-house-chapter-16,cliffnotes
87,0.10543129956357888,7,bleak-house-chapter-17,cliffnotes
88,0.08482773608118521,8,bleak-house-chapter-18,cliffnotes
89,0.10011176990849562,6,bleak-house-chapter-19,cliffnotes
90,0.0740317154206332,6,bleak-house-chapter-22,cliffnotes
91,0.11171566458144276,3,bleak-house-chapter-23,cliffnotes
92,0.0774206212174157,6,bleak-house-chapter-24,cliffnotes
93,0.08340480015861167,3,bleak-house-chapter-25,cliffnotes
94,0.08856643181116797,6,bleak-house-chapter-26,cliffnotes
95,0.06115382666059268,5,bleak-house-chapter-27,cliffnotes
96,0.07536292460992401,4,bleak-house-chapter-28,cliffnotes
