,bert,number of Unique sentences,chapter-title,source
0,0.6364392638206482,7,Dracula.chapter 1,gradesaver
1,0.6776867508888245,13,Dracula.chapter 2,gradesaver
2,0.6647419929504395,14,Dracula.chapter 3,gradesaver
3,0.6783392429351807,24,Dracula.chapter 4,gradesaver
4,0.6649720072746277,7,Dracula.chapter 5,gradesaver
5,0.6325722336769104,14,Dracula.chapter 6,gradesaver
6,0.6719962954521179,10,Dracula.chapter 7,gradesaver
7,0.6777680516242981,16,Dracula.chapter 8,gradesaver
8,0.7032438516616821,12,Dracula.chapter 9,gradesaver
9,0.6984704732894897,8,Dracula.chapter 10,gradesaver
10,0.7330101728439331,14,Dracula.chapter 11,gradesaver
11,0.6879647970199585,18,Dracula.chapter 12,gradesaver
12,0.6870564222335815,9,Dracula.chapter 13,gradesaver
13,0.6483398675918579,9,Dracula.chapter 14,gradesaver
14,0.6228185892105103,9,Dracula.chapter 15,gradesaver
15,0.6648209095001221,11,Dracula.chapter 16,gradesaver
16,0.6402316093444824,6,Dracula.chapter 17,gradesaver
17,0.6568988561630249,9,Dracula.chapter 18,gradesaver
18,0.6646393537521362,16,Dracula.chapter 19,gradesaver
19,0.6655107736587524,8,Dracula.chapter 20,gradesaver
20,0.6968836784362793,11,Dracula.chapter 21,gradesaver
21,0.6467112898826599,10,Dracula.chapter 22,gradesaver
22,0.6587156057357788,9,Dracula.chapter 23,gradesaver
23,0.6768252849578857,9,Dracula.chapter 24,gradesaver
24,0.7121906280517578,7,Dracula.chapter 25,gradesaver
25,0.6718569993972778,11,Dracula.chapter 26,gradesaver
26,0.660156786441803,16,Dracula.chapter 27,gradesaver
27,0.5981083512306213,7,Dracula.chapter 1,shmoop
28,0.6699905395507812,14,Dracula.chapter 2,shmoop
29,0.6462148427963257,15,Dracula.chapter 3,shmoop
30,0.6811536550521851,20,Dracula.chapter 4,shmoop
31,0.6258329153060913,10,Dracula.chapter 5,shmoop
32,0.6466827392578125,11,Dracula.chapter 6,shmoop
33,0.6130666732788086,12,Dracula.chapter 7,shmoop
34,0.6447533369064331,19,Dracula.chapter 8,shmoop
35,0.6434186697006226,16,Dracula.chapter 9,shmoop
36,0.6634493470191956,14,Dracula.chapter 10,shmoop
37,0.7048470973968506,17,Dracula.chapter 11,shmoop
38,0.6873735189437866,20,Dracula.chapter 12,shmoop
39,0.662670373916626,9,Dracula.chapter 13,shmoop
40,0.6513075828552246,10,Dracula.chapter 14,shmoop
41,0.6307260990142822,11,Dracula.chapter 15,shmoop
42,0.6386991739273071,11,Dracula.chapter 16,shmoop
43,0.5964722633361816,5,Dracula.chapter 17,shmoop
44,0.6448482275009155,10,Dracula.chapter 18,shmoop
45,0.6228227019309998,15,Dracula.chapter 19,shmoop
46,0.6140395402908325,8,Dracula.chapter 20,shmoop
47,0.7132588624954224,11,Dracula.chapter 21,shmoop
48,0.5954674482345581,13,Dracula.chapter 22,shmoop
49,0.6473780274391174,12,Dracula.chapter 23,shmoop
50,0.674942135810852,13,Dracula.chapter 24,shmoop
51,0.5660314559936523,14,Dracula.chapter 25,shmoop
52,0.6031889915466309,14,Dracula.chapter 26,shmoop
53,0.6328731775283813,15,Dracula.chapter 27,shmoop
54,0.5960476398468018,7,Dracula.chapter 1,cliffnotes
55,0.6776288151741028,7,Dracula.chapter 1,novelguide
56,0.709957480430603,14,Dracula.chapter 2,novelguide
57,0.7296307682991028,14,Dracula.chapter 3,novelguide
58,0.7653125524520874,17,Dracula.chapter 4,novelguide
59,0.7116780281066895,9,Dracula.chapter 5,novelguide
60,0.6553397178649902,11,Dracula.chapter 6,novelguide
61,0.6967027187347412,11,Dracula.chapter 7,novelguide
62,0.7376762628555298,17,Dracula.chapter 8,novelguide
63,0.6694655418395996,16,Dracula.chapter 9,novelguide
64,0.7284703254699707,11,Dracula.chapter 10,novelguide
65,0.7446193695068359,15,Dracula.chapter 11,novelguide
66,0.7153643369674683,17,Dracula.chapter 12,novelguide
67,0.6426763534545898,11,Dracula.chapter 13,novelguide
68,0.6915611028671265,8,Dracula.chapter 14,novelguide
69,0.6837079524993896,11,Dracula.chapter 15,novelguide
70,0.6631655693054199,13,Dracula.chapter 16,novelguide
71,0.6785041093826294,4,Dracula.chapter 17,novelguide
72,0.6800055503845215,10,Dracula.chapter 18,novelguide
73,0.6911850571632385,10,Dracula.chapter 19,novelguide
74,0.6430680751800537,8,Dracula.chapter 20,novelguide
75,0.7473528385162354,10,Dracula.chapter 21,novelguide
76,0.6463110446929932,11,Dracula.chapter 22,novelguide
77,0.6453601121902466,10,Dracula.chapter 23,novelguide
78,0.660085916519165,15,Dracula.chapter 24,novelguide
79,0.6641896963119507,11,Dracula.chapter 25,novelguide
80,0.7071153521537781,12,Dracula.chapter 26,novelguide
81,0.7007045745849609,14,Dracula.chapter 27,novelguide
82,0.7597069144248962,6,Jane Eyre.volume 1.chapter 1,gradesaver
83,0.7682120203971863,5,Jane Eyre.volume 1.chapter 2,gradesaver
84,0.7607462406158447,7,Jane Eyre.volume 1.chapter 3,gradesaver
85,0.7830982208251953,6,Jane Eyre.volume 1.chapter 4,gradesaver
86,0.730637788772583,5,Jane Eyre.volume 1.chapter 5,gradesaver
87,0.7619344592094421,3,Jane Eyre.volume 1.chapter 6,gradesaver
88,0.7817227244377136,4,Jane Eyre.volume 1.chapter 7,gradesaver
89,0.7405828237533569,6,Jane Eyre.volume 1.chapter 8,gradesaver
90,0.7461222410202026,7,Jane Eyre.volume 1.chapter 9,gradesaver
91,0.7942770719528198,8,Jane Eyre.volume 1.chapter 10,gradesaver
92,0.7320535182952881,7,Jane Eyre.volume 1.chapter 11,gradesaver
93,0.6927232146263123,8,Jane Eyre.volume 1.chapter 12,gradesaver
94,0.7317809462547302,3,Jane Eyre.volume 1.chapter 13,gradesaver
95,0.7164021134376526,5,Jane Eyre.volume 1.chapter 14,gradesaver
96,0.7477754354476929,9,Jane Eyre.volume 1.chapter 15,gradesaver
97,0.6863152980804443,8,Jane Eyre.volume 1.chapter 1,shmoop
98,0.5796293616294861,8,Jane Eyre.volume 1.chapter 2,shmoop
99,0.6587995290756226,9,Jane Eyre.volume 1.chapter 3,shmoop
100,0.6297441720962524,11,Jane Eyre.volume 1.chapter 4,shmoop
101,0.5997909307479858,11,Jane Eyre.volume 1.chapter 5,shmoop
102,0.6985602378845215,6,Jane Eyre.volume 1.chapter 6,shmoop
103,0.5351327657699585,7,Jane Eyre.volume 1.chapter 7,shmoop
104,0.6550005078315735,8,Jane Eyre.volume 1.chapter 8,shmoop
105,0.6221326589584351,9,Jane Eyre.volume 1.chapter 9,shmoop
106,0.6751118898391724,13,Jane Eyre.volume 1.chapter 10,shmoop
107,0.6485049724578857,15,Jane Eyre.volume 1.chapter 11,shmoop
108,0.6051999926567078,13,Jane Eyre.volume 1.chapter 12,shmoop
109,0.651527464389801,8,Jane Eyre.volume 1.chapter 13,shmoop
110,0.6502631902694702,7,Jane Eyre.volume 1.chapter 14,shmoop
111,0.673895001411438,18,Jane Eyre.volume 1.chapter 15,shmoop
112,0.7450865507125854,5,Jane Eyre.volume 1.chapter 1,cliffnotes
113,0.720048189163208,7,Jane Eyre.volume 1.chapter 4,cliffnotes
114,0.6631525754928589,10,Jane Eyre.volume 1.chapter 5,cliffnotes
115,0.7157284021377563,6,Jane Eyre.volume 1.chapter 8,cliffnotes
116,0.6982014775276184,7,Jane Eyre.volume 1.chapter 9,cliffnotes
117,0.7473973631858826,11,Jane Eyre.volume 1.chapter 10,cliffnotes
118,0.6967843174934387,10,Jane Eyre.volume 1.chapter 11,cliffnotes
119,0.6589087843894958,9,Jane Eyre.volume 1.chapter 12,cliffnotes
120,0.6705383658409119,5,Jane Eyre.volume 1.chapter 13,cliffnotes
121,0.7025849223136902,7,Jane Eyre.volume 2.chapter 16,cliffnotes
122,0.7446058988571167,11,Jane Eyre.volume 2.chapter 17,cliffnotes
123,0.6397922039031982,13,Jane Eyre.volume 2.chapter 20,cliffnotes
124,0.7261788249015808,12,Jane Eyre.volume 2.chapter 21,cliffnotes
125,0.7014119029045105,5,Jane Eyre.volume 2.chapter 22,cliffnotes
126,0.6206356883049011,7,Jane Eyre.volume 2.chapter 23,cliffnotes
127,0.6837028861045837,11,Jane Eyre.volume 3.chapter 26,cliffnotes
128,0.6989636421203613,14,Jane Eyre.volume 3.chapter 27,cliffnotes
129,0.6549113988876343,10,Jane Eyre.volume 3.chapter 30,cliffnotes
130,0.6603952646255493,8,Jane Eyre.volume 3.chapter 31,cliffnotes
131,0.7376101613044739,9,Jane Eyre.volume 3.chapter 32,cliffnotes
132,0.6977325677871704,8,Jane Eyre.volume 3.chapter 33,cliffnotes
133,0.7164456844329834,14,Jane Eyre.volume 3.chapter 34,cliffnotes
134,0.6759364604949951,11,Jane Eyre.volume 3.chapter 35,cliffnotes
135,0.6762235760688782,11,Jane Eyre.volume 3.chapter 36,cliffnotes
136,0.680435836315155,15,Jane Eyre.volume 3.chapter 37,cliffnotes
137,0.7004374861717224,8,Jane Eyre.volume 3.chapter 38,cliffnotes
138,0.7509862780570984,5,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.7861172556877136,5,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.7399975657463074,7,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.7471508979797363,6,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.7413038015365601,5,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.7465680241584778,4,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.782634973526001,4,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.7557463645935059,6,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.7750967144966125,5,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.7657206654548645,7,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.7436666488647461,5,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.7343600392341614,8,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.6473488807678223,5,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.6928293704986572,5,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.6792710423469543,10,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.7404771447181702,11,Jane Eyre.volume 2.chapter 21,sparknotes
154,0.7425329089164734,4,Jane Eyre.volume 2.chapter 22,sparknotes
155,0.6825112104415894,8,Jane Eyre.volume 2.chapter 23,sparknotes
156,0.7018805742263794,5,Jane Eyre.volume 2.chapter 24,sparknotes
157,0.6920450329780579,7,Jane Eyre.volume 2.chapter 25,sparknotes
158,0.6754313111305237,13,Jane Eyre.volume 3.chapter 26,sparknotes
159,0.7110925912857056,15,Jane Eyre.volume 3.chapter 27,sparknotes
160,0.6257427334785461,12,Jane Eyre.volume 3.chapter 28,sparknotes
161,0.7209438681602478,6,Jane Eyre.volume 3.chapter 29,sparknotes
162,0.733489453792572,7,Jane Eyre.volume 3.chapter 30,sparknotes
163,0.754528820514679,4,Jane Eyre.volume 3.chapter 31,sparknotes
164,0.7415046691894531,7,Jane Eyre.volume 3.chapter 32,sparknotes
165,0.7033625841140747,8,Jane Eyre.volume 3.chapter 33,sparknotes
166,0.711943507194519,8,Jane Eyre.volume 3.chapter 34,sparknotes
167,0.737742006778717,5,Jane Eyre.volume 3.chapter 35,sparknotes
168,0.7470531463623047,6,Jane Eyre.volume 3.chapter 36,sparknotes
169,0.7338407039642334,11,Jane Eyre.volume 3.chapter 37,sparknotes
170,0.7190383672714233,8,Jane Eyre.volume 3.chapter 38,sparknotes
171,0.6145062446594238,10,Jane Eyre.volume 2.chapter 19,bookwolf
172,0.6815198063850403,6,Jane Eyre.volume 2.chapter 20,bookwolf
173,0.7294954657554626,13,Jane Eyre.volume 2.chapter 21,bookwolf
174,0.6805341839790344,6,Jane Eyre.volume 2.chapter 22,bookwolf
175,0.6454116702079773,10,Jane Eyre.volume 3.chapter 26,bookwolf
176,0.7488274574279785,4,Jane Eyre.volume 1.chapter 1,novelguide
177,0.7101860046386719,4,Jane Eyre.volume 1.chapter 2,novelguide
178,0.763207733631134,6,Jane Eyre.volume 1.chapter 3,novelguide
179,0.7329228520393372,5,Jane Eyre.volume 1.chapter 4,novelguide
180,0.6650993227958679,6,Jane Eyre.volume 1.chapter 5,novelguide
181,0.7060210704803467,4,Jane Eyre.volume 1.chapter 6,novelguide
182,0.7155430316925049,5,Jane Eyre.volume 1.chapter 7,novelguide
183,0.7205813527107239,7,Jane Eyre.volume 1.chapter 8,novelguide
184,0.7247933745384216,5,Jane Eyre.volume 1.chapter 9,novelguide
185,0.7382651567459106,7,Jane Eyre.volume 1.chapter 10,novelguide
186,0.6979482769966125,8,Jane Eyre.volume 1.chapter 11,novelguide
187,0.6793570518493652,10,Jane Eyre.volume 1.chapter 12,novelguide
188,0.6643926501274109,6,Jane Eyre.volume 1.chapter 13,novelguide
189,0.7382197380065918,6,Jane Eyre.volume 1.chapter 14,novelguide
190,0.734844982624054,17,Jane Eyre.volume 1.chapter 15,novelguide
191,0.7146018147468567,5,Jane Eyre.volume 2.chapter 16,novelguide
192,0.6532422304153442,11,Jane Eyre.volume 2.chapter 17,novelguide
193,0.6299261450767517,5,Jane Eyre.volume 2.chapter 18,novelguide
194,0.635818600654602,10,Jane Eyre.volume 2.chapter 19,novelguide
195,0.6555715799331665,7,Jane Eyre.volume 2.chapter 20,novelguide
196,0.7099566459655762,11,Jane Eyre.volume 2.chapter 21,novelguide
197,0.7203925251960754,4,Jane Eyre.volume 2.chapter 22,novelguide
198,0.7000060081481934,6,Jane Eyre.volume 2.chapter 23,novelguide
199,0.6724608540534973,5,Jane Eyre.volume 2.chapter 24,novelguide
200,0.6811253428459167,8,Jane Eyre.volume 2.chapter 25,novelguide
201,0.690565288066864,11,Jane Eyre.volume 3.chapter 26,novelguide
202,0.6932207345962524,16,Jane Eyre.volume 3.chapter 27,novelguide
