,rouge-1n,number of Unique sentences,chapter-title,source
0,0.35129697433787593,7,The-Last-of-the-Mohicans-chapter-3,cliffnotes
1,0.31741199558763333,9,The-Last-of-the-Mohicans-chapter-4,cliffnotes
2,0.298854549967082,9,The-Last-of-the-Mohicans-chapter-5,cliffnotes
3,0.29078256297012134,11,The-Last-of-the-Mohicans-chapter-6,cliffnotes
4,0.24882598002170017,6,The-Last-of-the-Mohicans-chapter-9,cliffnotes
5,0.29002579424366753,7,The-Last-of-the-Mohicans-chapter-12,cliffnotes
6,0.20649416748959207,5,The-Last-of-the-Mohicans-chapter-15,cliffnotes
7,0.29068703774633436,8,The-Last-of-the-Mohicans-chapter-16,cliffnotes
8,0.23251959339440423,6,The-Last-of-the-Mohicans-chapter-17,cliffnotes
9,0.3131580162685576,6,The-Last-of-the-Mohicans-chapter-22,cliffnotes
