,Book Title,Source,Chapters in Book,Chapters Covered,Percentage Covered
0,bleak house,bookwolf,67,0,0.0
1,bleak house,cliffnotes,67,67,1.0
2,bleak house,gradesaver,67,62,0.9253731343283582
3,bleak house,novelguide,67,67,1.0
4,bleak house,pinkmonkey,67,0,0.0
5,bleak house,shmoop,67,67,1.0
6,bleak house,sparknotes,67,67,1.0
7,bleak house,thebestnotes,67,0,0.0
8,the adventures of huckleberry finn,bookwolf,43,0,0.0
9,the adventures of huckleberry finn,cliffnotes,43,42,0.9767441860465116
10,the adventures of huckleberry finn,gradesaver,43,43,1.0
11,the adventures of huckleberry finn,novelguide,43,0,0.0
12,the adventures of huckleberry finn,pinkmonkey,43,0,0.0
13,the adventures of huckleberry finn,shmoop,43,0,0.0
14,the adventures of huckleberry finn,sparknotes,43,43,1.0
15,the adventures of huckleberry finn,thebestnotes,43,0,0.0
16,anthem,bookwolf,12,0,0.0
17,anthem,cliffnotes,12,12,1.0
18,anthem,gradesaver,12,12,1.0
19,anthem,novelguide,12,12,1.0
20,anthem,pinkmonkey,12,0,0.0
21,anthem,shmoop,12,12,1.0
22,anthem,sparknotes,12,12,1.0
23,anthem,thebestnotes,12,0,0.0
24,ethan frome,bookwolf,10,0,0.0
25,ethan frome,cliffnotes,10,9,0.9
26,ethan frome,gradesaver,10,10,1.0
27,ethan frome,novelguide,10,9,0.9
28,ethan frome,pinkmonkey,10,9,0.9
29,ethan frome,shmoop,10,9,0.9
30,ethan frome,sparknotes,10,9,0.9
31,ethan frome,thebestnotes,10,0,0.0
32,the jungle,bookwolf,31,0,0.0
33,the jungle,cliffnotes,31,31,1.0
34,the jungle,gradesaver,31,31,1.0
35,the jungle,novelguide,31,0,0.0
36,the jungle,pinkmonkey,31,0,0.0
37,the jungle,shmoop,31,31,1.0
38,the jungle,sparknotes,31,31,1.0
39,the jungle,thebestnotes,31,0,0.0
40,the ambassadors,bookwolf,36,0,0.0
41,the ambassadors,cliffnotes,36,36,1.0
42,the ambassadors,gradesaver,36,0,0.0
43,the ambassadors,novelguide,36,0,0.0
44,the ambassadors,pinkmonkey,36,0,0.0
45,the ambassadors,shmoop,36,36,1.0
46,the ambassadors,sparknotes,36,0,0.0
47,the ambassadors,thebestnotes,36,0,0.0
48,the age of innocence,bookwolf,34,0,0.0
49,the age of innocence,cliffnotes,34,34,1.0
50,the age of innocence,gradesaver,34,34,1.0
51,the age of innocence,novelguide,34,0,0.0
52,the age of innocence,pinkmonkey,34,0,0.0
53,the age of innocence,shmoop,34,34,1.0
54,the age of innocence,sparknotes,34,34,1.0
55,the age of innocence,thebestnotes,34,0,0.0
56,mrs. warren's profession,bookwolf,1,0,0.0
57,mrs. warren's profession,cliffnotes,1,0,0.0
58,mrs. warren's profession,gradesaver,1,1,1.0
59,mrs. warren's profession,novelguide,1,0,0.0
60,mrs. warren's profession,pinkmonkey,1,0,0.0
61,mrs. warren's profession,shmoop,1,0,0.0
62,mrs. warren's profession,sparknotes,1,0,0.0
63,mrs. warren's profession,thebestnotes,1,0,0.0
64,invisible man,bookwolf,28,0,0.0
65,invisible man,cliffnotes,28,0,0.0
66,invisible man,gradesaver,28,0,0.0
67,invisible man,novelguide,28,25,0.8928571428571429
68,invisible man,pinkmonkey,28,0,0.0
69,invisible man,shmoop,28,28,1.0
70,invisible man,sparknotes,28,0,0.0
71,invisible man,thebestnotes,28,25,0.8928571428571429
72,timon of athens,bookwolf,17,0,0.0
73,timon of athens,cliffnotes,17,0,0.0
74,timon of athens,gradesaver,17,0,0.0
75,timon of athens,novelguide,17,0,0.0
76,timon of athens,pinkmonkey,17,17,1.0
77,timon of athens,shmoop,17,0,0.0
78,timon of athens,sparknotes,17,17,1.0
79,timon of athens,thebestnotes,17,0,0.0
80,the importance of being earnest,bookwolf,3,0,0.0
81,the importance of being earnest,cliffnotes,3,1,0.3333333333333333
82,the importance of being earnest,gradesaver,3,0,0.0
