,Book Title,Source,Word Count,Summary Path
0,paradise lost,gradesaver,1136,finished_summaries/gradesaver/Paradise Lost/overview.json
1,paradise lost,shmoop,430,finished_summaries/shmoop/Paradise Lost/overview.txt
2,paradise lost,sparknotes,1534,finished_summaries/sparknotes/Paradise Lost/overview.txt
3,the federalist papers,gradesaver,0,finished_summaries/gradesaver/The Federalist Papers/overview.json
4,the rivals,gradesaver,2158,finished_summaries/gradesaver/The Rivals/overview.json
5,adam bede,gradesaver,1243,finished_summaries/gradesaver/Adam Bede/overview.json
6,adam bede,shmoop,768,finished_summaries/shmoop/Adam Bede/overview.txt
7,adam bede,cliffnotes,1618,finished_summaries/cliffnotes/Adam Bede/overview.txt
8,adam bede,sparknotes,950,finished_summaries/sparknotes/Adam Bede/overview.txt
9,northanger abbey,gradesaver,1017,finished_summaries/gradesaver/Northanger Abbey/overview.json
10,northanger abbey,shmoop,596,finished_summaries/shmoop/Northanger Abbey/overview.txt
11,northanger abbey,sparknotes,1149,finished_summaries/sparknotes/Northanger Abbey/overview.txt
12,frankenstein,gradesaver,1894,finished_summaries/gradesaver/Frankenstein/overview.json
13,frankenstein,shmoop,653,finished_summaries/shmoop/Frankenstein/overview.txt
14,frankenstein,cliffnotes,469,finished_summaries/cliffnotes/Frankenstein/overview.txt
15,frankenstein,sparknotes,976,finished_summaries/sparknotes/Frankenstein/overview.txt
16,my antonia,shmoop,924,finished_summaries/shmoop/My Antonia/overview.txt
17,my antonia,cliffnotes,1794,finished_summaries/cliffnotes/My Antonia/overview.txt
18,my antonia,sparknotes,686,finished_summaries/sparknotes/My Antonia/overview.txt
19,a vindication of the rights of woman,gradesaver,716,finished_summaries/gradesaver/A Vindication of the Rights of Woman/overview.json
20,a vindication of the rights of woman,shmoop,399,finished_summaries/shmoop/A Vindication of the Rights of Woman/overview.txt
21,little women,gradesaver,821,finished_summaries/gradesaver/Little Women/overview.json
22,little women,shmoop,436,finished_summaries/shmoop/Little Women/overview.txt
23,little women,sparknotes,921,finished_summaries/sparknotes/Little Women/overview.txt
24,the house of mirth,shmoop,1013,finished_summaries/shmoop/The House of Mirth/overview.txt
25,the house of mirth,cliffnotes,927,finished_summaries/cliffnotes/The House of Mirth/overview.txt
26,the house of mirth,sparknotes,546,finished_summaries/sparknotes/The House of Mirth/overview.txt
27,the house of the seven gables,gradesaver,1345,finished_summaries/gradesaver/The House of the Seven Gables/overview.json
28,the house of the seven gables,shmoop,1364,finished_summaries/shmoop/The House of the Seven Gables/overview.txt
29,the house of the seven gables,cliffnotes,803,finished_summaries/cliffnotes/The House of the Seven Gables/overview.txt
30,the house of the seven gables,sparknotes,1059,finished_summaries/sparknotes/The House of the Seven Gables/overview.txt
31,a study in scarlet,gradesaver,1238,finished_summaries/gradesaver/A Study in Scarlet/overview.json
32,the life of timon of athens,shmoop,487,finished_summaries/shmoop/The Life of Timon of Athens/overview.txt
33,hamlet,gradesaver,1328,finished_summaries/gradesaver/Hamlet/overview.json
34,hamlet,shmoop,702,finished_summaries/shmoop/Hamlet/overview.txt
35,hamlet,sparknotes,867,finished_summaries/sparknotes/Hamlet/overview.txt
36,othello,gradesaver,997,finished_summaries/gradesaver/Othello/overview.json
37,othello,shmoop,1326,finished_summaries/shmoop/Othello/overview.txt
