,Book Title,Word Count,Book Path
0,paradise lost,81433,all_chapterized_books/20-chapters/book_clean.txt
1,the federalist papers,192404,all_chapterized_books/1404-chapters/book_clean.txt
2,the rivals,27013,all_chapterized_books/24761-chapters/book_clean.txt
3,adam bede,219911,all_chapterized_books/507-chapters/book_clean.txt
4,northanger abbey,77737,all_chapterized_books/121-chapters/book_clean.txt
5,frankenstein,68659,all_chapterized_books/41445-chapters/book_clean.txt
6,my antonia,81391,all_chapterized_books/19810-chapters/book_clean.txt
7,a vindication of the rights of woman,81153,all_chapterized_books/3420-chapters/book_clean.txt
8,little women,189921,all_chapterized_books/514-chapters/book_clean.txt
9,the house of mirth,132618,all_chapterized_books/284-chapters/book_clean.txt
10,the house of the seven gables,103945,all_chapterized_books/77-chapters/book_clean.txt
11,a study in scarlet,43630,all_chapterized_books/244-chapters/book_clean.txt
12,the life of timon of athens,20064,all_chapterized_books/1132-chapters/book_clean.txt
13,hamlet,32557,all_chapterized_books/1787-chapters/book_clean.txt
14,othello,28373,all_chapterized_books/1793-chapters/book_clean.txt
15,a room with a view,67876,all_chapterized_books/2641-chapters/book_clean.txt
16,mary barton,163976,all_chapterized_books/2153-chapters/book_clean.txt
17,coriolanus,29906,all_chapterized_books/1797-chapters/book_clean.txt
18,around the world in eighty days,62674,all_chapterized_books/103-chapters/book_clean.txt
19,candide,32369,all_chapterized_books/19942-chapters/book_clean.txt
20,the garden party,59064,all_chapterized_books/1429-chapters/book_clean.txt
21,sister carrie,158607,all_chapterized_books/233-chapters/book_clean.txt
22,persuasion,83771,all_chapterized_books/105-chapters/book_clean.txt
23,looking backward: 2000-1887,77572,all_chapterized_books/25439-chapters/book_clean.txt
24,wuthering heights,118559,all_chapterized_books/768-chapters/book_clean.txt
25,what maisie knew,96269,all_chapterized_books/7118-chapters/book_clean.txt
26,the vicar of wakefield,62854,all_chapterized_books/2667-chapters/book_clean.txt
27,utilitarianism,27158,all_chapterized_books/11224-chapters/book_clean.txt
28,where angels fear to tread,50492,all_chapterized_books/2948-chapters/book_clean.txt
29,oliver twist,159182,all_chapterized_books/730-chapters/book_clean.txt
30,david copperfield,359844,all_chapterized_books/766-chapters/book_clean.txt
31,heart of darkness,38763,all_chapterized_books/219-chapters/book_clean.txt
32,dracula,161573,all_chapterized_books/345-chapters/book_clean.txt
33,a hero of our time,57858,all_chapterized_books/913-chapters/book_clean.txt
34,green mansions,87569,all_chapterized_books/942-chapters/book_clean.txt
35,the phantom of the opera,85527,all_chapterized_books/175-chapters/book_clean.txt
36,leviathan,211347,all_chapterized_books/3207-chapters/book_clean.txt
37,the goose girl,65729,all_chapterized_books/14598-chapters/book_clean.txt
38,main street,171286,all_chapterized_books/543-chapters/book_clean.txt
39,the canterville ghost,11454,all_chapterized_books/14522-chapters/book_clean.txt
40,middlemarch,323549,all_chapterized_books/145-chapters/book_clean.txt
41,villette,195435,all_chapterized_books/9182-chapters/book_clean.txt
42,from the earth to the moon,41700,all_chapterized_books/83-chapters/book_clean.txt
