,Book Title,Section Title,Word Count,Section Path
0,bleak house,bleak-house-chapter-1-chapter-4,18430,all_chapterized_books/1023-chapters/chapters_1_to_4.txt
1,bleak house,bleak-house-chapter-5-chapter-7,18823,all_chapterized_books/1023-chapters/chapters_5_to_7.txt
2,bleak house,bleak-house-chapter-8-chapter-10,18969,all_chapterized_books/1023-chapters/chapters_8_to_10.txt
3,bleak house,bleak-house-chapter-11-chapter-13,17640,all_chapterized_books/1023-chapters/chapters_11_to_13.txt
4,bleak house,bleak-house-chapter-14-chapter-16,18636,all_chapterized_books/1023-chapters/chapters_14_to_16.txt
5,bleak house,bleak-house-chapter-18,7164,all_chapterized_books/1023-chapters/19.txt
6,bleak house,bleak-house-chapter-19,5475,all_chapterized_books/1023-chapters/20.txt
7,bleak house,bleak-house-chapter-20-chapter-22,18031,all_chapterized_books/1023-chapters/chapters_20_to_22.txt
8,bleak house,bleak-house-chapter-23-chapter-25,18521,all_chapterized_books/1023-chapters/chapters_23_to_25.txt
9,bleak house,bleak-house-chapter-26-chapter-29,18742,all_chapterized_books/1023-chapters/chapters_26_to_29.txt
10,bleak house,bleak-house-chapter-30-chapter-32,18761,all_chapterized_books/1023-chapters/chapters_30_to_32.txt
11,bleak house,bleak-house-chapter-33-chapter-35,18578,all_chapterized_books/1023-chapters/chapters_33_to_35.txt
12,bleak house,bleak-house-chapter-36-chapter-38,18931,all_chapterized_books/1023-chapters/chapters_36_to_38.txt
13,bleak house,bleak-house-chapter-40,4602,all_chapterized_books/1023-chapters/41.txt
14,bleak house,bleak-house-chapter-42,2825,all_chapterized_books/1023-chapters/43.txt
15,bleak house,bleak-house-chapter-43-chapter-46,18451,all_chapterized_books/1023-chapters/chapters_43_to_46.txt
16,bleak house,bleak-house-chapter-47-chapter-49,17827,all_chapterized_books/1023-chapters/chapters_47_to_49.txt
17,bleak house,bleak-house-chapter-50-chapter-53,17867,all_chapterized_books/1023-chapters/chapters_50_to_53.txt
18,bleak house,bleak-house-chapter-54-chapter-56,18510,all_chapterized_books/1023-chapters/chapters_54_to_56.txt
19,bleak house,bleak-house-chapter-57-chapter-59,18732,all_chapterized_books/1023-chapters/chapters_57_to_59.txt
20,bleak house,bleak-house-chapter-61,4291,all_chapterized_books/1023-chapters/62.txt
21,bleak house,bleak-house-chapter-62,3655,all_chapterized_books/1023-chapters/63.txt
22,bleak house,bleak-house-chapter-64-chapter-67,10891,all_chapterized_books/1023-chapters/chapters_64_to_67.txt
23,bleak house,bleak-house-chapter-1,2625,all_chapterized_books/1023-chapters/02.txt
24,bleak house,bleak-house-chapter-2,2915,all_chapterized_books/1023-chapters/03.txt
25,bleak house,bleak-house-chapter-3,7949,all_chapterized_books/1023-chapters/04.txt
26,bleak house,bleak-house-chapter-4,4941,all_chapterized_books/1023-chapters/05.txt
27,bleak house,bleak-house-chapter-5,5767,all_chapterized_books/1023-chapters/06.txt
28,bleak house,bleak-house-chapter-6,8790,all_chapterized_books/1023-chapters/07.txt
29,bleak house,bleak-house-chapter-7,4266,all_chapterized_books/1023-chapters/08.txt
30,bleak house,bleak-house-chapter-8,8381,all_chapterized_books/1023-chapters/09.txt
31,bleak house,bleak-house-chapter-9,6318,all_chapterized_books/1023-chapters/10.txt
32,bleak house,bleak-house-chapter-10,4270,all_chapterized_books/1023-chapters/11.txt
33,bleak house,bleak-house-chapter-11,5942,all_chapterized_books/1023-chapters/12.txt
34,bleak house,bleak-house-chapter-12,5598,all_chapterized_books/1023-chapters/13.txt
35,bleak house,bleak-house-chapter-13,6100,all_chapterized_books/1023-chapters/14.txt
36,bleak house,bleak-house-chapter-14,8686,all_chapterized_books/1023-chapters/15.txt
37,bleak house,bleak-house-chapter-15,6399,all_chapterized_books/1023-chapters/16.txt
38,bleak house,bleak-house-chapter-16,3551,all_chapterized_books/1023-chapters/17.txt
39,bleak house,bleak-house-chapter-17,5737,all_chapterized_books/1023-chapters/18.txt
40,bleak house,bleak-house-chapter-20,5723,all_chapterized_books/1023-chapters/21.txt
41,bleak house,bleak-house-chapter-21,7012,all_chapterized_books/1023-chapters/22.txt
42,bleak house,bleak-house-chapter-22,5296,all_chapterized_books/1023-chapters/23.txt
43,bleak house,bleak-house-chapter-23,7460,all_chapterized_books/1023-chapters/24.txt
44,bleak house,bleak-house-chapter-24,7500,all_chapterized_books/1023-chapters/25.txt
45,bleak house,bleak-house-chapter-25,3561,all_chapterized_books/1023-chapters/26.txt
46,bleak house,bleak-house-chapter-26,5224,all_chapterized_books/1023-chapters/27.txt
47,bleak house,bleak-house-chapter-27,5006,all_chapterized_books/1023-chapters/28.txt
48,bleak house,bleak-house-chapter-28,4638,all_chapterized_books/1023-chapters/29.txt
49,bleak house,bleak-house-chapter-29,3874,all_chapterized_books/1023-chapters/30.txt
50,bleak house,bleak-house-chapter-30,6607,all_chapterized_books/1023-chapters/31.txt
51,bleak house,bleak-house-chapter-31,6647,all_chapterized_books/1023-chapters/32.txt
52,bleak house,bleak-house-chapter-32,5507,all_chapterized_books/1023-chapters/33.txt
53,bleak house,bleak-house-chapter-33,5957,all_chapterized_books/1023-chapters/34.txt
54,bleak house,bleak-house-chapter-34,6376,all_chapterized_books/1023-chapters/35.txt
55,bleak house,bleak-house-chapter-35,6245,all_chapterized_books/1023-chapters/36.txt
56,bleak house,bleak-house-chapter-36,6799,all_chapterized_books/1023-chapters/37.txt
57,bleak house,bleak-house-chapter-37,7822,all_chapterized_books/1023-chapters/38.txt
58,bleak house,bleak-house-chapter-38,4310,all_chapterized_books/1023-chapters/39.txt
59,bleak house,bleak-house-chapter-39,6358,all_chapterized_books/1023-chapters/40.txt
60,bleak house,bleak-house-chapter-41,3461,all_chapterized_books/1023-chapters/42.txt
61,bleak house,bleak-house-chapter-43,6365,all_chapterized_books/1023-chapters/44.txt
62,bleak house,bleak-house-chapter-44,3108,all_chapterized_books/1023-chapters/45.txt
63,bleak house,bleak-house-chapter-45,5415,all_chapterized_books/1023-chapters/46.txt
64,bleak house,bleak-house-chapter-46,3563,all_chapterized_books/1023-chapters/47.txt
65,bleak house,bleak-house-chapter-47,5866,all_chapterized_books/1023-chapters/48.txt
66,bleak house,bleak-house-chapter-48,6358,all_chapterized_books/1023-chapters/49.txt
67,bleak house,bleak-house-chapter-49,5603,all_chapterized_books/1023-chapters/50.txt
68,bleak house,bleak-house-chapter-50,4132,all_chapterized_books/1023-chapters/51.txt
69,bleak house,bleak-house-chapter-51,4675,all_chapterized_books/1023-chapters/52.txt
70,bleak house,bleak-house-chapter-52,4556,all_chapterized_books/1023-chapters/53.txt
71,bleak house,bleak-house-chapter-53,4504,all_chapterized_books/1023-chapters/54.txt
72,bleak house,bleak-house-chapter-54,8683,all_chapterized_books/1023-chapters/55.txt
73,bleak house,bleak-house-chapter-55,6523,all_chapterized_books/1023-chapters/56.txt
74,bleak house,bleak-house-chapter-56,3304,all_chapterized_books/1023-chapters/57.txt
75,bleak house,bleak-house-chapter-57,7590,all_chapterized_books/1023-chapters/58.txt
76,bleak house,bleak-house-chapter-58,5709,all_chapterized_books/1023-chapters/59.txt
77,bleak house,bleak-house-chapter-59,5433,all_chapterized_books/1023-chapters/60.txt
78,bleak house,bleak-house-chapter-60,5236,all_chapterized_books/1023-chapters/61.txt
79,bleak house,bleak-house-chapter-63,3222,all_chapterized_books/1023-chapters/64.txt
80,bleak house,bleak-house-chapter-64,4494,all_chapterized_books/1023-chapters/65.txt
81,bleak house,bleak-house-chapter-65,2976,all_chapterized_books/1023-chapters/66.txt
