,Book Title,Section Title,Source,Word Count,Summary Path
0,bleak house,bleak-house-chapter-1-chapter-4,gradesaver,641,finished_summaries/gradesaver/Bleak House/section_0_part_0.txt
1,bleak house,bleak-house-chapter-5-chapter-7,gradesaver,646,finished_summaries/gradesaver/Bleak House/section_1_part_0.txt
2,bleak house,bleak-house-chapter-8-chapter-10,gradesaver,621,finished_summaries/gradesaver/Bleak House/section_2_part_0.txt
3,bleak house,bleak-house-chapter-11-chapter-13,gradesaver,492,finished_summaries/gradesaver/Bleak House/section_3_part_0.txt
4,bleak house,bleak-house-chapter-14-chapter-16,gradesaver,552,finished_summaries/gradesaver/Bleak House/section_4_part_0.txt
5,bleak house,bleak-house-chapter-18,gradesaver,252,finished_summaries/gradesaver/Bleak House/section_5_part_1.txt
6,bleak house,bleak-house-chapter-19,gradesaver,245,finished_summaries/gradesaver/Bleak House/section_5_part_2.txt
7,bleak house,bleak-house-chapter-20-chapter-22,gradesaver,753,finished_summaries/gradesaver/Bleak House/section_6_part_0.txt
8,bleak house,bleak-house-chapter-23-chapter-25,gradesaver,736,finished_summaries/gradesaver/Bleak House/section_7_part_0.txt
9,bleak house,bleak-house-chapter-26-chapter-29,gradesaver,771,finished_summaries/gradesaver/Bleak House/section_8_part_0.txt
10,bleak house,bleak-house-chapter-30-chapter-32,gradesaver,543,finished_summaries/gradesaver/Bleak House/section_9_part_0.txt
11,bleak house,bleak-house-chapter-33-chapter-35,gradesaver,635,finished_summaries/gradesaver/Bleak House/section_10_part_0.txt
12,bleak house,bleak-house-chapter-36-chapter-38,gradesaver,725,finished_summaries/gradesaver/Bleak House/section_11_part_0.txt
13,bleak house,bleak-house-chapter-40,gradesaver,264,finished_summaries/gradesaver/Bleak House/section_12_part_1.txt
14,bleak house,bleak-house-chapter-42,gradesaver,91,finished_summaries/gradesaver/Bleak House/section_12_part_2.txt
15,bleak house,bleak-house-chapter-43-chapter-46,gradesaver,729,finished_summaries/gradesaver/Bleak House/section_13_part_0.txt
16,bleak house,bleak-house-chapter-47-chapter-49,gradesaver,367,finished_summaries/gradesaver/Bleak House/section_14_part_0.txt
17,bleak house,bleak-house-chapter-50-chapter-53,gradesaver,539,finished_summaries/gradesaver/Bleak House/section_15_part_0.txt
18,bleak house,bleak-house-chapter-54-chapter-56,gradesaver,526,finished_summaries/gradesaver/Bleak House/section_16_part_0.txt
19,bleak house,bleak-house-chapter-57-chapter-59,gradesaver,398,finished_summaries/gradesaver/Bleak House/section_17_part_0.txt
20,bleak house,bleak-house-chapter-61,gradesaver,159,finished_summaries/gradesaver/Bleak House/section_18_part_1.txt
21,bleak house,bleak-house-chapter-62,gradesaver,122,finished_summaries/gradesaver/Bleak House/section_18_part_2.txt
22,bleak house,bleak-house-chapter-64-chapter-67,gradesaver,524,finished_summaries/gradesaver/Bleak House/section_19_part_0.txt
23,bleak house,bleak-house-chapter-1,shmoop,344,finished_summaries/shmoop/Bleak House/section_1_part_0.txt
24,bleak house,bleak-house-chapter-2,shmoop,357,finished_summaries/shmoop/Bleak House/section_2_part_0.txt
25,bleak house,bleak-house-chapter-3,shmoop,571,finished_summaries/shmoop/Bleak House/section_3_part_0.txt
26,bleak house,bleak-house-chapter-4,shmoop,584,finished_summaries/shmoop/Bleak House/section_4_part_0.txt
27,bleak house,bleak-house-chapter-5,shmoop,668,finished_summaries/shmoop/Bleak House/section_5_part_0.txt
28,bleak house,bleak-house-chapter-6,shmoop,917,finished_summaries/shmoop/Bleak House/section_6_part_0.txt
29,bleak house,bleak-house-chapter-7,shmoop,623,finished_summaries/shmoop/Bleak House/section_7_part_0.txt
30,bleak house,bleak-house-chapter-8,shmoop,628,finished_summaries/shmoop/Bleak House/section_8_part_0.txt
31,bleak house,bleak-house-chapter-9,shmoop,438,finished_summaries/shmoop/Bleak House/section_9_part_0.txt
32,bleak house,bleak-house-chapter-10,shmoop,356,finished_summaries/shmoop/Bleak House/section_10_part_0.txt
33,bleak house,bleak-house-chapter-11,shmoop,486,finished_summaries/shmoop/Bleak House/section_11_part_0.txt
34,bleak house,bleak-house-chapter-12,shmoop,502,finished_summaries/shmoop/Bleak House/section_12_part_0.txt
35,bleak house,bleak-house-chapter-13,shmoop,513,finished_summaries/shmoop/Bleak House/section_13_part_0.txt
36,bleak house,bleak-house-chapter-14,shmoop,979,finished_summaries/shmoop/Bleak House/section_14_part_0.txt
37,bleak house,bleak-house-chapter-15,shmoop,579,finished_summaries/shmoop/Bleak House/section_15_part_0.txt
38,bleak house,bleak-house-chapter-16,shmoop,515,finished_summaries/shmoop/Bleak House/section_16_part_0.txt
39,bleak house,bleak-house-chapter-17,shmoop,655,finished_summaries/shmoop/Bleak House/section_17_part_0.txt
40,bleak house,bleak-house-chapter-18,shmoop,661,finished_summaries/shmoop/Bleak House/section_18_part_0.txt
41,bleak house,bleak-house-chapter-19,shmoop,495,finished_summaries/shmoop/Bleak House/section_19_part_0.txt
42,bleak house,bleak-house-chapter-20,shmoop,423,finished_summaries/shmoop/Bleak House/section_20_part_0.txt
43,bleak house,bleak-house-chapter-21,shmoop,672,finished_summaries/shmoop/Bleak House/section_21_part_0.txt
44,bleak house,bleak-house-chapter-22,shmoop,528,finished_summaries/shmoop/Bleak House/section_22_part_0.txt
45,bleak house,bleak-house-chapter-23,shmoop,654,finished_summaries/shmoop/Bleak House/section_23_part_0.txt
46,bleak house,bleak-house-chapter-24,shmoop,599,finished_summaries/shmoop/Bleak House/section_24_part_0.txt
47,bleak house,bleak-house-chapter-25,shmoop,357,finished_summaries/shmoop/Bleak House/section_25_part_0.txt
48,bleak house,bleak-house-chapter-26,shmoop,514,finished_summaries/shmoop/Bleak House/section_26_part_0.txt
49,bleak house,bleak-house-chapter-27,shmoop,359,finished_summaries/shmoop/Bleak House/section_27_part_0.txt
50,bleak house,bleak-house-chapter-28,shmoop,371,finished_summaries/shmoop/Bleak House/section_28_part_0.txt
51,bleak house,bleak-house-chapter-29,shmoop,375,finished_summaries/shmoop/Bleak House/section_29_part_0.txt
52,bleak house,bleak-house-chapter-30,shmoop,452,finished_summaries/shmoop/Bleak House/section_30_part_0.txt
53,bleak house,bleak-house-chapter-31,shmoop,404,finished_summaries/shmoop/Bleak House/section_31_part_0.txt
54,bleak house,bleak-house-chapter-32,shmoop,266,finished_summaries/shmoop/Bleak House/section_32_part_0.txt
55,bleak house,bleak-house-chapter-33,shmoop,506,finished_summaries/shmoop/Bleak House/section_33_part_0.txt
56,bleak house,bleak-house-chapter-34,shmoop,490,finished_summaries/shmoop/Bleak House/section_34_part_0.txt
57,bleak house,bleak-house-chapter-35,shmoop,562,finished_summaries/shmoop/Bleak House/section_35_part_0.txt
58,bleak house,bleak-house-chapter-36,shmoop,531,finished_summaries/shmoop/Bleak House/section_36_part_0.txt
59,bleak house,bleak-house-chapter-37,shmoop,517,finished_summaries/shmoop/Bleak House/section_37_part_0.txt
60,bleak house,bleak-house-chapter-38,shmoop,403,finished_summaries/shmoop/Bleak House/section_38_part_0.txt
61,bleak house,bleak-house-chapter-39,shmoop,463,finished_summaries/shmoop/Bleak House/section_39_part_0.txt
62,bleak house,bleak-house-chapter-40,shmoop,349,finished_summaries/shmoop/Bleak House/section_40_part_0.txt
63,bleak house,bleak-house-chapter-41,shmoop,254,finished_summaries/shmoop/Bleak House/section_41_part_0.txt
64,bleak house,bleak-house-chapter-42,shmoop,270,finished_summaries/shmoop/Bleak House/section_42_part_0.txt
65,bleak house,bleak-house-chapter-43,shmoop,606,finished_summaries/shmoop/Bleak House/section_43_part_0.txt
66,bleak house,bleak-house-chapter-44,shmoop,371,finished_summaries/shmoop/Bleak House/section_44_part_0.txt
67,bleak house,bleak-house-chapter-45,shmoop,392,finished_summaries/shmoop/Bleak House/section_45_part_0.txt
68,bleak house,bleak-house-chapter-46,shmoop,281,finished_summaries/shmoop/Bleak House/section_46_part_0.txt
